11/22/63, Stephen King
Stranger in a Strange Land, Robert A. Heinlein
Stuff White People Like, Christian Lander
Subliminal: How Your Unconscious Mind Rules Your Behavior, Leonard Mlodinow
Suburban Nation, Andres Duany
Sycamore Row, John Grisham
Tales of the Unexpected, Roald Dahl
The $100 Startup [x], Chris Guillebeau
The Bedwetter, Sarah Silverman
The Bell Jar[x], Sylvia Plath
The Book Thief, Markus Zusak
The Circle, Dave Eggers
The Count of Monte Cristo [x], Alexandre Dumas
The Curious Incident of the Dog in the Nightime, Mark Haddon
The Dark Net [x], Benjamin Percy
The Dark Net, Jamie Bartlett
The Dark Tower series + bonus book, Stephen King
The Death and Life of Great American Cities, Jane Jacobs
The Demolished Man, Alfred Bester
The Demon-Haunted World: Science as a Candle in the Dark, Carl Sagan
The Department of Mad Scientists, Michael Belfiore
The Devil in the White City, Erik Larson
The Dispossessed, Ursula K. Le Guin
The Dorito Effect, Mark Schatzker
The Drunkard's Walk: How Randomness Rules Our Lives, Leonard Mlodinow
The Eden Express [x], Mark Vonnegut
The Electric Kool-Aid Acid Test, Tom Wolfe
The Elements of Style, William Strunk Jr.
The Emperor of all Maladies, Siddhartha Mukherjee
The End of Absence [x], Michael John Harris
The Everything Store: Jeff Bezos and the Age of Amazon, Joanna Russ
The Faith Healers, James Randi
The Forever War, Dexter Filkins
The Fran Lebowitz Reader, Fran Lebowitz
The Geography of Nowhere, James Howard Kunstler
The Ghost Map, Steven Johnson
The Girl on the Train, Paula Hawkins
The Grand Design, Stephen Hawking
The Grapes of Wrath, John Steinbeck
The Great Divide: Unequal Societies and What We Can Do About Them, Joseph E. Stiglitz
The Great Unraveling, Paul R. Krugman
The Happiness of Pursuit [x], Chris Guillebeau
The Hard Thing About Hard Things, Ben Horowitz
The Hot Zone, Richard Preston
The Innovator's Dilemma, Clayton M. Christensen
The Innovators, Walter Isaacson
The Lathe of Heaven, Ursula K. Le Guin
The Lean Startup, Eric Ries
The Life-Changing Magic of Tidying Up, Marie Kondo
The Little Prince, Antoine de Saint Exup̩ry
The Lonely City, Olivia Laing
The Malazan Book of the Fallen, Steven Erikson
The Man in the High Castle [x], Philip K. Dick
The Man Who Mistook His Wife For A Hat, Oliver Sacks
The Man Without a Face, Masha Gessen
The Martian Chronicles, Ray Bradbury
The Martian, Andy Weir
The Meaning of Human Existence, Edward O. Wilson
The Most Good You Can Do, Peter Singer
The Name of the Wind [x], Patrick Rothfuss
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph, Ryan Holiday
The Once and Future King [x], T.H. White
The Paper Trip, Barry Reid
The Pillars of the Earth, Ken Follett
The Power of Myth, Joseph Campbell
The Prince of Nothing, R. Scott Bakker
The Promise of a Pencil, Adam Braun
The Psychopath Test: A Journey Through the Madness Industry, Jon Ronson
The Quiet American, Graham Green
The Racketeer, John Grisham
The Rational Optimist: How Prosperity Evolves, Matt Ridley
The Rent Is Too Damn High, Matthew Yglesias
The Rise and Fall of American Growth, Robert Gordon
The Rise of Islamic State, Patrick Cockburn
The Road to Character, David Brooks
The Second Machine Age, Erik Brynjolfsson
The Secret History [x], Donna Tartt
The Shadow Factory, James Bamford
The Shallows: What the Internet Is Doing to Our Brains, Nicholas Carr
The Singularity is Near, Ray Kurzweil
The Sixth Extinction: An Unnatural History, Elizabeth Kolbert
The Snowden Files, Luke Harding
The Sound and the Fury, William Faulkner
The Stars My Destination, Alfred Bester
The Subtle Art of Not Giving a F*ck [x], Mark Manson
The Three-Body Problem [x], Liu Cixin
The Time Machine, H.G. Wells
