title, author, genre, # pages, rating, # ratings, progress
The Department of Mad Scientists: How DARPA Is Remaking Our World from the Internet to Artificial Limbs, Michael Belfiore, Non Fiction,320,3.51,264,
The Power of Myth (Joseph Campbell and Power of Myth), Joseph Campbell, Non Fiction,320,4.29,28319,
The Unbearable Lightness of Being, Milan Kundera, Classics,320,4.07,196665,
Walking the Amazon: 860 Days. The Impossible Task. The Incredible Journey, Ed Stafford, Travel,320,3.65,881,
Carsick, John Waters, Non Fiction,323,3.38,4163,
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus, Richard   Preston, Non Fiction,323,4.08,62531,
Wikinomics: How Mass Collaboration Changes Everything, Don Tapscott, Business,324,3.65,6404,
Hallucinations, Oliver Sacks, Non Fiction,326,3.8,9512,
The Subtle Knife (His Dark Materials #2), Philip Pullman, Fantasy,326,4.09,220393,
The Sound and the Fury, William Faulkner, Classics,326,3.85,112720,
Superintelligence: Paths Dangers Strategies, Nick Bostrom, Science,328,3.87,1587,
The Faith Healers, James Randi, Non Fiction,328,4.19,506,
Corporate Warriors: The Rise of the Privatized Military Industry (Cornell Studies in Security Affairs), P.W. Singer, Non Fiction,330,3.93,313,
The Snowden Files: The Inside Story of the World's Most Wanted Man, Luke Harding, Non Fiction,333,3.94,1305,
Everything and More: A Compact History of Infinity (Great Discoveries), David Foster Wallace, Non Fiction,336,3.68,2359,
Our Final Invention: Artificial Intelligence and the End of the Human Era, James Barrat, Science,336,3.66,764,
Singled Out: How Singles Are Stereotyped Stigmatized and Ignored and Still Live Happily Ever After, Bella DePaulo, Non Fiction,336,3.67,290,
The Barbary Coast: An Informal History of the San Francisco Underworld, Herbert Asbury, Non Fiction,336,3.88,451,
The Silence of the Lambs (Hannibal Lecter #2), Thomas Harris, Horror,338,4.09,311339,
The Everything Store: Jeff Bezos and the Age of Amazon, Brad Stone, Business,341,3.93,11659,
The Forever War, Dexter Filkins, Non Fiction,342,4.16,6226,
Genome: the Autobiography of a Species in 23 Chapters, Matt Ridley, Science,344,4,14662,
Pour Your Heart Into It: How Starbucks Built a Company One Cup at a Time, Howard Schultz, Non Fiction,351,3.95,3663,
Chaos: Making a New Science, James Gleick, Science,352,3.97,19515,
Rise of the Robots: Technology and the Threat of a Jobless Future, Martin Ford, Non Fiction,352,4.03,347,
The Panda's Thumb: More Reflections in Natural History (Reflections in Natural History #2), Stephen Jay Gould, Science,352,4.11,4307,
The Master and Margarita, Mikhail Bulgakov, Fiction,360,4.32,115246,
Around the World in 50 Years: My Adventure to Every Country on Earth, Albert Podell, Travel,368,3.69,343,
Conscious Capitalism: Liberating the Heroic Spirit of Business, John E. Mackey, Business,368,3.78,767,
Men are from Mars Women are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships, John  Gray, Self Help,368,3.49,108502,
The Road to the Dark Tower: Exploring Stephen King's Magnum Opus, Bev Vincent, Fantasy,368,4.26,27387,
The Girl Next Door, Jack Ketchum, Horror,370,3.96,12047,
American Nations: A History of the Eleven Rival Regional Cultures of North America, Colin Woodard, History,371,4.12,2312,
